,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
1848(富士ＰＳ),13.24,1.03,1.74,7.78,2.89,9.6,-45.09,1.92,3.37,0.0,37.19,-6.12,-8.79,3.31,20.28,0.76,12.5,1.38,4,8,1,5,3,1,37/100
1850(南海辰村),7.34,0.81,0.0,11.02,3.47,9.17,-13.02,-1.7,3.54,-5.35,31.52,-1.11,-1.39,2.92,25.99,0.71,50.0,55.31,4,9,1,4,2,1,35/100
1852(浅沼組),8.8,0.88,5.73,10.05,4.52,36.68,-1.57,1.06,3.77,0.0,45.03,-0.82,-1.06,87.38,19.28,0.79,50.32,9.99,5,8,5,3,4,8,55/100
1853(森組),9.94,0.76,4.58,7.68,4.28,10.04,-20.23,-3.12,5.07,0.0,55.71,0.47,-0.01,5.26,8.7,0.45,63.64,28.94,2,8,2,4,7,6,48/100
1860(戸田建),13.54,0.74,2.82,5.45,2.3,228.76,-15.36,0.31,4.99,0.0,42.13,-4.3,-9.29,229.27,26.07,0.94,39.02,-0.87,3,9,8,6,4,3,55/100
1861(熊谷組),6.87,0.78,4.4,11.35,4.9,127.78,-3.52,5.11,6.08,0.0,43.16,-3.81,-2.68,352.16,20.25,0.68,42.62,1.0,7,10,8,4,4,7,67/100
1866(北野建),10.65,0.42,4.13,3.9,2.01,14.91,-35.64,-3.67,2.79,0.0,51.55,0.28,-1.2,6.2,9.04,0.2,55.29,25.66,1,9,2,4,6,9,52/100
1867(植木組),8.02,0.44,3.43,5.43,2.74,10.02,-20.48,4.8,4.12,0.0,50.4,-1.14,-2.06,3.6,11.96,0.3,48.85,0.16,5,10,2,4,5,5,52/100
1869(名工建),7.5,0.59,2.46,7.91,4.63,33.01,-12.25,-5.68,7.16,0.0,58.46,1.45,2.41,1.44,20.83,0.07,63.64,,2,9,3,8,8,6,60/100
1870(矢作建),9.12,0.57,4.89,6.22,2.62,31.0,-32.84,1.49,5.21,0.0,42.08,-9.67,-8.85,19.98,28.67,0.81,27.27,2.55,4,10,4,6,4,1,48/100
1871(ＰＳ三菱),8.84,0.71,3.16,8.05,3.56,30.06,-43.01,-0.03,4.38,0.0,44.24,-4.92,-2.99,94.24,25.09,0.91,33.61,4.16,3,9,5,5,4,2,47/100
1873(日本ハウス),19.25,0.76,1.59,3.93,2.18,17.33,8.13,-7.16,4.55,0.0,55.32,-6.2,-8.38,70.38,31.92,1.08,22.97,0.49,2,7,4,7,7,2,48/100
1878(大東建),14.09,3.02,3.55,21.4,7.07,915.93,7.06,-0.39,6.18,0.0,33.03,-1.67,2.08,3075.21,28.42,0.57,42.54,-0.71,7,4,10,7,2,9,65/100
1879(新日本建),5.1,0.62,2.29,12.21,7.9,50.99,2.64,2.32,13.0,-0.79,64.72,-1.86,-3.8,19.31,25.03,0.82,48.6,1.85,7,10,5,5,8,3,63/100
1881(ＮＩＰＰＯ),16.78,1.27,0.0,7.56,4.92,486.56,-5.96,4.01,9.46,0.0,65.01,0.46,11.1,2001.31,43.92,0.81,53.33,0.31,6,3,9,9,9,8,73/100
1882(東亜道),6.6,0.57,3.56,8.56,4.55,26.41,-17.33,3.52,5.22,0.0,53.21,1.34,6.6,75.33,22.5,0.54,68.7,5.43,5,9,4,7,6,7,63/100
1884(日道路),12.97,0.84,2.63,6.51,3.92,77.8,-20.3,2.61,5.7,0.0,60.23,-2.5,-3.03,54.61,21.51,0.68,42.5,0.06,4,7,6,6,8,9,67/100
1885(東亜建),9.41,0.75,3.19,7.95,2.94,56.44,-5.92,8.81,3.9,0.0,36.95,0.56,3.34,129.92,17.98,0.55,59.03,6.15,7,8,6,6,3,6,60/100
1887(日本国土開発),8.31,0.77,4.52,9.21,4.57,56.5,-6.47,8.25,6.6,0.0,49.63,-3.56,-2.76,44.43,14.28,0.66,32.81,4.43,7,9,5,5,5,3,57/100
1888(若築建),9.17,0.76,3.14,8.26,2.95,24.76,36.17,-0.18,4.18,0.0,35.74,-5.35,-3.36,93.93,27.51,1.05,34.64,1.03,6,9,4,5,3,2,48/100
1890(東洋建),8.65,0.81,3.64,9.34,4.03,51.9,-35.47,1.27,5.35,0.0,43.15,-4.89,-3.96,78.61,18.72,0.54,34.88,9.86,4,9,6,5,4,4,53/100
1892(徳倉建),6.15,0.51,3.31,8.34,3.08,7.99,-18.79,6.08,3.18,-6.67,36.97,-0.84,-4.11,0.26,21.71,0.01,45.0,,6,10,1,5,3,4,48/100
1893(五洋建),10.5,1.33,3.13,12.64,4.42,209.93,-6.7,-2.92,5.8,0.0,35.0,-5.63,-1.83,706.35,21.73,0.86,39.76,0.85,4,7,8,3,3,6,52/100
1897(金下建),662.86,0.79,1.44,0.12,0.1,13.25,-93.6,-7.04,0.62,0.0,84.36,-2.56,-3.0,0.22,16.74,0.06,37.04,16.15,1,2,1,4,10,10,47/100
1898(世紀東急),9.71,0.79,3.78,8.09,4.16,32.05,-42.82,6.27,5.42,1.46,51.37,-3.59,-6.31,43.0,18.05,0.9,38.84,8.03,5,9,4,4,5,3,50/100
1904(大成温調),26.03,0.55,3.73,2.13,1.28,13.28,-49.55,-2.45,1.45,0.0,59.97,-0.96,0.26,5.3,5.67,0.21,38.16,3.67,1,5,2,4,8,10,50/100
1905(テノックス),16.45,0.56,2.92,3.38,2.2,6.58,111.48,-4.3,3.89,0.0,65.12,-0.32,-0.37,1.37,13.67,0.04,35.14,55.67,4,7,1,3,9,8,53/100
1909(日本ドライ),8.1,0.88,1.52,10.83,4.37,14.17,-21.31,7.43,5.56,0.0,40.37,-5.57,-4.5,15.32,37.51,1.0,34.66,15.7,7,9,2,6,3,1,47/100
1911(住友林),6.18,1.26,3.04,20.41,6.87,463.37,84.24,2.04,9.22,5.84,33.68,5.0,7.62,1362.15,30.08,1.39,68.25,1.17,9,8,9,6,2,3,62/100
1914(日基技),67.74,0.66,2.07,0.97,0.71,14.9,3.49,-3.49,3.5,0.0,73.36,-5.82,-15.55,16.21,36.12,1.04,34.88,0.54,2,6,3,8,10,2,52/100
1921(巴),8.83,0.53,2.2,5.97,4.12,18.55,24.48,-9.2,12.5,1.41,68.96,-0.11,2.22,19.58,27.18,1.22,58.33,3.36,2,9,3,7,9,2,53/100
1925(ハウス),10.59,1.24,3.69,11.72,4.25,2277.87,-6.46,1.31,7.35,0.0,36.32,-7.55,-4.57,4500.47,20.34,1.32,20.11,0.39,6,8,10,8,3,5,67/100
1926(ライト),12.98,1.48,2.63,11.41,7.68,112.26,7.12,2.28,11.82,0.0,67.33,-3.05,-1.01,281.3,19.72,0.54,39.29,0.57,7,6,7,5,9,9,72/100
1928(積ハウス),10.96,1.22,3.71,11.16,5.64,1622.36,18.03,5.77,8.54,0.48,50.52,-0.57,3.19,3320.89,19.36,0.95,50.18,-0.03,8,6,10,5,5,8,70/100
1929(日特建),9.82,1.01,4.2,10.24,5.64,28.78,-17.88,3.14,6.41,0.0,55.07,-2.47,-5.21,56.58,12.38,0.53,34.67,3.2,6,9,4,5,7,4,58/100
1930(北陸電工),8.53,0.67,2.93,7.8,5.59,25.59,6.75,5.58,8.53,0.0,71.6,-11.21,-17.54,12.22,37.97,0.35,21.86,1.45,7,10,3,9,10,1,67/100
1934(ユアテック),8.32,0.38,3.1,4.52,2.8,46.58,-1.88,2.64,4.09,0.0,61.9,-6.06,-9.15,32.06,21.32,0.87,25.49,3.11,5,10,5,5,8,3,60/100
1938(日リーテック),16.09,0.72,1.77,4.45,3.01,39.09,-26.76,-1.17,6.31,0.0,67.77,-0.1,-7.02,15.85,39.28,1.25,54.1,-1.91,2,8,4,6,9,4,55/100
1939(四電工),6.94,0.5,4.43,7.18,3.74,25.68,-1.13,3.85,6.11,0.0,52.05,-3.9,-5.19,15.8,26.08,0.68,32.5,1.18,6,10,3,6,6,2,55/100
1941(中電工),18.4,0.58,4.83,3.17,2.46,125.11,-1.67,7.25,6.19,0.0,77.65,-3.87,-5.49,98.34,16.36,0.63,27.98,0.99,6,7,7,5,10,9,73/100
1942(関電工),8.71,0.66,3.23,7.54,4.46,177.78,0.83,-2.41,6.01,0.0,59.17,-3.61,-6.15,176.74,17.54,0.64,35.96,0.77,3,10,8,5,8,7,68/100
1944(きんでん),13.97,0.75,1.95,5.34,3.85,367.41,-13.6,1.82,7.06,0.0,72.04,-4.61,-4.44,400.04,16.79,0.77,31.8,-0.16,4,8,9,6,10,9,77/100
1945(東京エネシス),11.84,0.62,2.78,5.24,3.79,40.24,27.55,4.58,6.49,0.0,72.44,-0.4,2.06,35.33,29.6,1.06,54.84,1.19,7,7,5,6,10,4,65/100
1946(トーエネク),8.4,0.51,3.67,6.01,2.34,60.5,-19.86,0.79,4.91,0.0,38.84,-8.9,-13.71,20.14,25.09,0.92,26.72,1.01,4,10,5,7,3,2,52/100
1948(弘電社),8.54,0.47,4.53,5.49,3.49,8.71,15.94,-4.14,4.61,0.0,63.57,-0.88,-1.77,1.38,12.66,0.08,38.78,65.85,3,9,1,2,8,10,55/100
1949(住友電設),9.46,0.88,3.62,9.28,5.25,72.88,0.53,0.83,7.5,0.0,56.53,-5.83,-7.54,64.82,25.79,0.94,28.13,2.11,5,9,6,5,7,5,62/100
1950(日本電設),21.79,0.61,1.82,2.8,1.81,104.61,-54.52,-2.82,4.21,0.0,64.57,-5.89,-8.17,65.5,23.75,0.77,26.09,-1.38,1,7,7,5,8,8,60/100
1951(エクシオＧ),12.61,1.06,3.49,8.44,4.9,303.96,-1.01,10.0,6.75,0.0,58.11,-3.4,-5.69,625.4,20.63,0.86,41.46,0.23,8,8,9,4,8,8,75/100
1952(新日空調),12.45,1.08,2.88,8.7,4.46,54.78,-5.63,-3.42,5.73,0.0,51.26,-4.8,-5.0,37.33,31.6,0.94,42.62,-1.26,3,8,5,7,5,3,52/100
