,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
4615(神東塗),,0.34,2.66,0.0,0.0,5.83,-10.18,-4.87,0.79,0.0,51.19,-1.22,-2.4,3.54,11.77,0.6,47.06,19.48,1,3,1,2,4,7,30/100
4616(川上塗),65.25,1.21,0.87,1.86,0.62,2.87,480.0,-2.62,1.11,0.0,33.54,42.34,65.29,15.51,63.51,0.25,93.19,9.14,5,1,1,5,2,6,33/100
4617(中国塗),46.62,0.88,4.23,1.89,1.05,51.27,-73.56,-2.08,2.05,0.0,55.25,-4.45,-6.56,184.9,25.25,0.63,29.1,-0.59,1,4,6,6,6,7,50/100
4619(日特塗),27.06,0.54,4.11,2.0,1.13,23.0,-18.85,-2.14,3.55,0.0,56.38,-3.5,-7.15,15.21,26.34,1.16,43.69,2.39,2,7,3,4,6,3,42/100
4620(藤倉化),9.04,0.51,3.05,5.61,3.53,17.18,58.14,-1.59,5.71,0.71,62.96,-1.29,-1.3,15.54,24.36,0.67,45.07,4.13,5,9,3,3,7,4,52/100
4621(ロック),16.14,0.46,2.17,2.83,2.34,17.75,-25.99,-0.16,6.67,0.0,82.7,-1.59,-2.89,0.47,17.45,0.2,46.55,20.48,2,8,2,4,10,8,57/100
4623(アサヒペン),15.41,0.66,3.0,4.25,2.8,8.47,-17.63,3.9,6.2,0.0,65.77,-0.45,-1.14,1.39,4.37,0.17,36.0,2.79,4,7,1,3,8,8,52/100
4624(イサム),15.35,0.55,1.42,2.98,2.43,8.47,-4.42,-4.13,9.57,0.0,81.48,0.52,-0.06,0.32,12.77,-0.04,58.82,1.11,2,7,1,7,10,9,60/100
4625(アトミクス),12.54,0.49,2.58,3.93,2.61,4.77,-28.91,2.47,4.05,13.06,66.47,2.41,-0.16,0.89,18.48,0.33,72.22,6.52,3,8,1,4,8,6,50/100
4626(太陽ＨＤ),16.52,2.43,2.04,14.71,6.26,184.99,15.78,15.8,17.35,2.14,42.54,10.15,9.94,266.76,22.13,1.06,84.54,0.75,10,3,8,6,3,7,62/100
4627(ナトコ),8.51,0.65,3.83,7.61,5.88,12.34,38.67,2.8,11.37,0.0,77.27,-9.4,-8.78,7.82,24.84,-0.02,26.77,5.09,7,10,2,6,9,3,62/100
4628(エスケー化研),16.42,0.99,1.04,6.01,5.08,120.69,-4.42,-3.2,12.21,0.0,84.51,0.69,-5.54,13.29,14.77,0.07,75.0,10.07,2,7,6,7,10,10,70/100
4629(大伸化学),7.95,0.47,2.22,5.96,3.97,6.63,-25.01,0.78,4.17,0.0,66.52,1.74,3.51,0.55,18.45,0.23,65.79,13.32,3,9,1,5,8,7,55/100
4631(ＤＩＣ),13.06,0.9,3.31,6.91,2.69,287.37,30.31,1.78,5.65,0.91,38.94,-1.2,-2.42,518.01,20.59,0.85,42.11,0.55,7,7,9,5,2,7,62/100
4633(サカタＩＮＸ),9.3,0.89,2.77,9.56,5.03,67.86,32.24,3.45,5.75,0.63,52.56,-1.91,-4.09,51.32,26.74,0.93,44.22,0.3,8,9,6,7,5,1,60/100
4634(洋インキＨＤ),14.31,0.58,4.48,4.05,2.24,121.67,19.59,-1.06,5.36,0.39,55.15,-0.73,-2.15,194.46,16.14,0.7,44.24,0.33,4,8,7,5,6,8,63/100
4635(東インキ),10.05,0.24,3.62,2.39,1.31,6.03,43.09,-1.4,2.09,0.0,54.74,-1.53,-2.91,5.12,15.86,0.31,44.57,12.87,4,10,1,4,5,6,50/100
4636(Ｔ＆Ｋ),7.66,0.41,2.51,5.31,3.48,17.99,35.11,-3.74,3.33,14.32,65.6,-2.01,-3.63,20.84,31.96,1.16,50.3,1.71,4,10,3,5,8,2,53/100
4641(アルプス技),16.78,4.03,3.61,24.01,14.57,51.35,-4.24,6.95,11.0,0.0,60.71,1.0,2.74,65.56,20.91,0.86,56.4,1.3,9,3,5,7,7,6,62/100
4642(オリジナル設),20.44,1.54,2.84,7.55,6.12,8.79,5.1,0.76,10.62,0.0,81.16,-4.07,4.8,4.97,28.34,0.14,37.67,1.94,5,3,2,5,10,7,53/100
4644(イマジニア),12.01,0.97,2.99,8.08,7.12,10.69,-11.42,12.42,18.49,0.0,88.11,0.28,-1.13,16.8,21.33,0.68,50.0,13.07,8,7,2,4,10,5,60/100
4645(市進ＨＤ),20.51,2.7,2.44,13.17,1.71,4.35,57.14,1.24,2.52,0.0,13.0,0.45,10.54,7.32,49.31,0.08,39.13,7.04,8,2,1,7,1,1,33/100
4650(ＳＤエンター),104.8,2.08,0.0,1.99,0.43,3.14,,-12.05,2.65,0.0,21.65,3.39,3.01,1.81,16.49,0.4,72.41,15.97,1,1,1,3,1,7,23/100
4651(サニックス),10.51,2.01,0.0,19.08,4.68,16.19,3.59,-0.61,4.36,0.0,24.51,-1.02,-1.61,84.81,23.92,1.14,54.55,12.94,6,7,4,2,2,2,38/100
4653(ダイオーズ),43.41,1.18,1.46,2.72,1.48,13.8,,-4.38,1.81,0.0,54.36,1.18,-1.85,2.98,15.59,0.44,66.2,2.69,2,3,2,7,6,7,45/100
4657(環境管理),10.84,1.2,0.99,11.08,4.64,2.38,5.06,5.86,5.74,0.0,41.87,-1.74,-7.86,7.1,31.64,1.15,36.36,19.5,8,8,1,4,4,1,43/100
4658(日本空調),9.8,1.42,5.23,14.48,8.31,28.41,-1.34,3.91,5.96,0.0,57.37,-0.77,4.03,37.55,29.41,0.6,49.48,-2.02,7,7,4,5,6,3,53/100
4659(エイジス),11.05,1.57,2.7,14.22,11.17,30.28,-16.5,-0.43,14.87,0.0,78.53,-6.35,-13.87,10.22,24.49,0.23,28.09,7.11,4,9,3,4,9,7,60/100
4661(ＯＬＣ),-399.07,9.21,0.14,-2.31,-1.69,7002.85,,-15.14,-9.56,-36.29,73.04,6.51,13.53,11782.85,20.83,0.59,80.0,-0.04,1,1,10,7,9,10,63/100
4662(フォーカス),16.39,1.53,2.41,9.31,5.78,16.88,2.11,4.53,6.12,0.0,62.12,3.05,3.27,39.15,25.21,0.86,65.75,9.87,7,4,3,6,7,4,52/100
4664(ＲＳＣ),13.1,0.92,0.97,7.0,3.28,1.52,-20.64,-1.77,3.06,0.0,46.91,0.03,-0.68,1.14,19.09,0.84,50.7,22.32,3,7,1,4,5,3,38/100
4665(ダスキン),18.97,0.94,2.73,4.95,3.82,136.56,58.3,0.4,6.54,0.0,77.23,-0.63,1.01,194.5,15.04,0.57,49.1,-0.36,6,5,7,4,9,10,68/100
4666(パーク２４),-22.2,9.31,0.0,-41.96,-4.4,288.55,,-5.53,-5.2,-9.53,10.47,2.56,-4.48,1441.2,42.93,1.08,60.55,1.22,1,1,9,6,1,7,42/100
4667(アイサンテク),56.17,1.42,0.87,2.53,2.05,8.26,-13.22,3.08,4.72,0.0,81.08,-3.14,-6.4,8.46,14.01,0.82,10.4,23.83,4,3,2,3,10,9,52/100
4668(明光ネット),23.42,1.54,3.96,6.58,4.51,15.46,-1.17,-0.18,5.56,3.59,68.43,-6.23,-7.57,78.65,29.51,0.41,25.33,-0.06,4,6,3,7,8,3,52/100
4671(ファルコＨＤ),7.26,0.92,3.35,12.74,7.01,18.87,47.21,2.74,8.79,16.68,55.04,-2.7,-5.1,37.94,36.72,0.36,47.92,3.54,8,10,3,6,6,2,58/100
4673(川崎地質),12.6,1.29,1.23,10.21,4.24,4.28,118.75,4.55,6.59,0.0,41.53,-12.72,14.97,324.41,100.09,0.37,47.52,0.82,9,4,2,10,4,2,52/100
4674(クレスコ),16.44,2.4,1.96,14.63,9.39,46.85,2.41,6.41,9.91,0.0,64.22,-0.48,1.82,68.9,39.2,0.69,51.95,0.65,8,4,5,7,7,5,60/100
4676(フジＨＤ),13.76,0.39,2.81,2.82,1.63,300.0,58.78,-7.91,6.81,10.63,57.93,6.18,7.61,623.74,23.41,0.96,75.45,-0.37,2,7,9,5,7,9,65/100
4678(秀英),10.05,0.6,2.43,5.92,2.48,2.76,-7.97,-1.39,3.13,0.0,41.92,-1.0,-1.72,1.28,10.15,0.28,34.62,12.68,3,9,1,3,4,4,40/100
4679(田谷),2.27,2.69,0.0,118.54,24.8,2.75,,-10.0,-6.28,0.0,20.92,-0.97,-3.99,2.44,11.94,0.25,35.85,-6.78,5,10,1,5,1,2,40/100
4680(ラウンドワン),23.67,3.75,1.25,15.83,4.28,152.44,,1.56,6.38,0.0,27.01,11.97,19.65,1752.11,50.13,0.9,78.06,0.62,7,1,9,7,2,6,53/100
4681(リゾートトラ),33.81,2.05,1.38,6.06,1.72,236.68,-45.6,-5.06,6.27,0.0,28.38,6.24,10.75,826.5,29.99,1.13,73.9,0.36,1,2,9,8,2,8,50/100
4684(オービック),50.8,7.64,0.91,15.04,13.41,2031.84,6.46,6.67,62.22,0.0,89.19,-3.95,-3.85,2224.9,27.07,0.92,25.89,0.33,9,2,10,7,10,9,78/100
4685(菱友システム),10.13,1.23,2.6,12.12,7.23,14.69,-0.3,-2.23,7.42,0.0,59.69,-0.57,-0.68,0.99,35.38,0.63,43.96,13.69,4,7,1,4,7,5,47/100
4686(ジャスト),30.29,5.95,0.28,19.65,15.91,363.51,8.54,16.38,36.67,0.0,81.0,-2.74,-9.31,537.31,29.17,0.98,37.8,20.52,10,3,9,4,10,9,75/100
4687(ＴＤＣソフト),16.19,2.23,2.15,13.76,10.08,30.44,9.59,2.96,9.69,0.0,73.25,-6.77,-8.29,41.09,38.52,0.77,41.01,1.46,8,6,4,7,9,2,60/100
4704(トレンド),26.91,4.9,2.65,18.21,9.05,917.6,3.38,4.57,22.46,0.0,49.72,2.69,6.53,3043.17,16.3,0.61,68.75,-0.03,8,2,10,7,5,10,70/100
4705(クリップ),19.57,0.72,4.85,3.68,3.27,3.74,26.98,0.4,7.88,0.0,88.98,1.44,-0.55,0.78,14.56,0.15,45.95,6.69,5,6,1,4,10,8,57/100
4707(キタック),53.14,0.78,1.44,1.48,0.72,2.07,-77.74,1.09,2.32,-10.22,48.93,-1.97,-2.35,2.66,50.79,0.32,46.15,18.74,2,3,1,6,5,3,33/100
4708(りらいあ),12.76,1.63,3.81,12.37,8.34,73.64,-14.38,1.33,7.0,0.0,67.44,-7.08,-10.28,150.57,23.85,0.88,25.89,-1.33,5,8,7,6,8,4,63/100
4709(ＩＤＨＤ),15.96,1.74,4.44,10.89,6.07,16.28,25.56,4.37,6.5,0.0,55.75,-3.32,-3.97,18.06,20.72,0.34,43.89,4.78,8,6,3,5,6,4,53/100
4712(ＫｅｙＨ),12.9,0.92,1.35,7.15,3.46,12.9,10.44,17.7,6.88,1.08,48.42,-1.7,-6.92,28.26,28.66,0.79,36.36,26.98,9,8,3,4,5,1,50/100
4714(リソー教育),33.48,10.8,3.11,32.27,15.06,70.29,151.68,7.23,10.0,0.76,46.68,-4.83,5.75,512.14,33.6,0.98,32.46,1.02,10,1,7,7,5,2,53/100
4716(日本オラクル),26.19,5.96,1.47,22.74,14.97,1309.42,0.84,2.34,32.98,0.0,65.83,-2.24,6.44,1610.76,31.06,1.0,38.89,0.25,8,2,10,5,8,10,72/100
4718(早稲アカ),21.19,1.78,2.13,8.41,4.98,19.6,47.35,6.04,5.59,0.0,59.21,1.04,5.86,51.62,21.07,0.23,56.73,1.38,9,3,4,7,7,6,60/100
4719(アルファ),26.35,1.75,1.11,6.63,5.42,63.24,6.18,4.82,10.87,0.0,81.68,5.29,10.36,19.21,39.82,0.83,62.39,-2.47,7,2,5,8,10,8,67/100
4720(城南進研),19.46,1.28,1.23,6.56,3.16,3.62,,-1.88,4.04,0.0,48.19,-0.49,-2.0,0.53,14.9,0.23,50.0,20.08,4,5,1,3,5,6,40/100
4722(フューチャー),34.75,5.01,1.15,14.41,11.04,191.13,47.11,6.54,16.49,0.0,76.62,27.67,50.1,617.31,40.45,1.34,98.18,2.08,9,1,8,5,9,9,68/100
4725(ＣＡＣ),16.13,1.33,3.64,8.27,4.71,33.87,67.63,-1.96,6.81,0.0,56.96,0.75,2.54,29.45,27.21,0.96,54.76,5.37,6,5,4,8,6,3,53/100
4726(ＳＢテク),24.18,3.71,1.34,15.34,7.22,67.71,15.55,9.2,7.08,2.86,47.05,0.51,0.3,187.4,31.24,0.78,57.11,1.38,9,3,7,7,5,6,62/100
4728(トーセ),21.44,1.02,3.16,4.77,4.04,6.13,71.83,5.26,7.82,0.0,84.55,0.9,0.17,4.47,12.3,0.43,57.97,13.95,8,5,1,5,10,6,58/100
4732(ＵＳＳ),21.18,3.28,3.26,15.46,12.58,561.34,5.69,-0.94,50.39,0.0,81.35,-1.22,-4.2,1120.36,20.9,0.93,50.22,0.05,6,4,9,4,10,10,72/100
4733(ＯＢＣ),36.83,3.21,1.28,8.71,7.07,412.46,16.19,4.97,47.62,0.0,81.18,-3.37,-3.3,970.69,36.25,0.62,40.72,0.14,8,2,9,7,10,9,75/100
4735(京進),24.37,1.26,1.33,5.19,0.9,4.75,56.06,6.59,2.37,0.0,17.3,-3.22,0.33,4.34,29.06,0.25,44.79,5.02,8,3,1,7,1,1,35/100
4736(日本ラッド),92.66,1.28,0.83,1.38,0.87,3.25,,-1.23,1.31,0.0,62.74,-2.48,-3.52,1.67,16.9,0.65,31.91,60.18,3,2,1,4,7,6,38/100
4739(ＣＴＣ),27.05,3.5,1.88,12.95,7.13,892.8,11.49,4.83,9.42,0.0,55.06,2.42,4.9,1110.47,25.03,0.76,62.39,0.32,8,2,10,8,6,9,72/100
4743(ＩＴＦＯＲ),14.39,1.84,2.61,12.8,9.63,25.9,12.21,11.39,15.03,0.91,75.24,1.14,4.26,93.7,26.85,0.93,51.54,3.23,9,4,4,8,9,3,62/100
4745(東京個別),25.36,4.25,3.94,16.76,12.09,35.83,240.8,3.03,9.96,0.0,72.16,-4.18,1.61,156.03,33.18,0.83,34.04,0.4,9,2,5,7,9,3,58/100
4746(東計電算),15.62,1.67,3.1,10.71,8.65,45.25,25.89,3.89,24.67,0.0,80.81,2.46,1.47,21.57,24.49,0.45,54.31,0.66,8,5,5,7,10,9,73/100
4748(構造計画),11.42,1.91,4.01,16.77,7.72,13.7,-4.76,5.43,12.0,0.0,46.03,-4.18,-5.68,13.61,16.16,0.42,24.0,20.52,8,7,2,4,4,5,50/100
4750(ダイサン),96.49,0.73,3.48,0.75,0.5,4.82,44.07,2.84,2.77,0.0,66.45,-1.75,-1.92,1.91,13.79,0.11,42.86,4.75,5,3,1,5,8,7,48/100
4751(サイバー),28.84,7.83,0.5,27.16,9.15,1009.39,-13.08,12.33,14.44,2.67,33.69,-1.8,-3.7,6584.34,26.19,0.86,43.88,1.24,9,2,10,7,3,6,62/100
4752(昭和システム),10.45,0.99,3.14,9.48,5.2,3.68,3.31,-0.04,8.55,0.0,54.85,-1.1,-0.87,0.73,15.05,0.06,46.75,29.42,5,7,1,2,6,6,45/100
4754(トスネット),8.09,0.78,2.59,9.66,6.51,4.56,53.36,-1.42,9.22,0.0,67.34,-0.07,1.65,1.16,15.99,0.27,35.71,11.12,6,9,1,4,8,6,57/100
4755(楽天グループ),-14.36,3.07,0.38,-21.36,-1.04,1866.36,,15.57,-7.65,0.0,4.86,-1.7,0.44,6738.61,32.0,1.14,37.91,0.47,6,1,10,6,1,5,48/100
4760(ＡＬＰＨＡ),279.63,0.81,3.27,0.29,0.1,1.12,,-6.16,0.17,-0.85,36.23,-3.9,-11.67,0.54,25.56,-0.2,22.45,7.47,1,4,1,5,3,5,32/100
4761(さくらＫＣＳ),16.74,0.55,1.46,3.27,2.41,9.21,-9.81,3.08,3.33,0.0,73.67,0.23,-0.19,0.24,9.22,0.01,56.0,13.08,4,7,1,4,9,7,53/100
4762(ＸＮＥＴ),15.24,1.16,2.81,7.62,6.55,8.23,11.27,5.46,15.38,0.0,85.9,-1.33,-2.95,3.42,16.03,0.3,36.0,6.47,8,6,1,3,10,7,58/100
4763(Ｃ＆Ｒ),23.68,4.54,0.85,19.19,10.78,46.18,28.77,11.78,7.75,0.0,56.19,2.04,8.24,174.44,40.56,0.9,54.25,1.03,10,2,6,7,6,5,60/100
4764(ＮｅｘｕｓＢ),2.62,0.35,0.0,12.86,1.46,8.36,877.65,142.71,17.5,0.62,11.35,-3.87,-3.5,143.66,50.94,0.21,44.74,12.64,10,10,3,4,1,1,48/100
4765(Ｍスター),31.92,3.99,3.18,12.49,10.57,47.89,11.37,10.96,29.27,0.0,84.65,1.65,6.54,93.79,20.26,0.66,54.79,0.37,9,2,6,7,10,7,68/100
4766(ピーエイ),-6.85,3.26,0.0,-47.62,-17.32,2.06,,-15.92,-6.67,-0.46,36.37,-4.63,-7.06,4.89,35.04,-0.32,25.0,26.87,1,1,1,5,3,3,23/100
4767(ＴＯＷ),27.72,1.68,3.98,6.06,4.63,17.24,43.27,-7.25,8.1,1.11,76.52,3.24,6.96,32.33,26.73,0.72,69.77,4.63,3,2,3,7,9,6,50/100
4768(大塚商会),23.81,3.56,2.31,14.96,8.81,988.01,5.47,5.25,6.89,0.0,58.85,-6.47,-9.07,2312.34,25.42,0.6,18.52,-0.12,8,5,10,7,7,8,75/100
4769(ＩＣ),14.98,1.29,3.1,8.58,6.27,6.98,1.05,0.95,7.86,0.0,73.12,1.21,2.6,1.07,17.95,0.1,63.49,10.04,5,5,1,7,9,6,55/100
4770(エルミック),97.17,3.59,0.0,3.7,2.87,1.94,,-1.41,3.75,0.0,77.73,-0.54,-1.07,1.69,16.52,0.41,48.48,35.36,3,1,1,2,9,9,42/100
4771(Ｆ＆Ｍ),25.87,4.38,1.35,16.93,13.84,34.87,60.71,15.04,18.48,0.0,81.73,23.12,42.63,55.13,69.46,0.58,77.36,9.11,10,1,5,5,10,8,65/100
4772(ストリームＭ),-49.73,3.67,0.0,-7.39,-4.7,20.98,,-4.0,-7.29,-22.45,63.59,-4.46,-2.08,5.01,30.95,0.31,21.74,46.11,2,1,2,3,7,7,37/100
4776(サイボウズ),-651.36,21.62,0.46,-3.33,-1.74,138.49,-70.73,17.75,3.6,10.19,52.35,2.78,6.55,364.14,33.14,0.62,59.37,0.34,4,1,8,7,6,9,58/100
4777(ガーラ),,0.0,0.0,0.0,0.0,4.8,,,,0.0,0.0,4.13,9.93,145.38,64.84,0.8,59.05,1.69,5,1,2,6,1,2,28/100
4781(日本ハウズ),15.17,1.76,2.07,11.58,6.94,62.2,-3.63,3.31,5.1,0.0,59.89,-1.99,-2.39,0.87,22.94,0.2,41.58,4.74,7,6,3,4,7,5,53/100
4783(日ダイナミク),13.71,1.49,2.0,10.87,4.16,6.17,72.68,4.22,3.49,0.0,38.29,-1.32,2.61,3.97,24.97,0.24,45.35,16.46,9,5,1,4,3,2,40/100
4784(ＧＭＯ- ＡＰ),24.41,1.45,2.14,5.93,2.65,7.69,-21.47,1.45,1.27,0.0,44.67,-1.33,-3.15,2.26,16.47,0.95,45.71,31.23,4,4,1,3,4,3,32/100
4792(山田コンサル),16.78,1.87,3.13,11.13,8.29,23.5,-9.56,1.89,14.89,0.0,74.47,2.07,3.53,30.84,37.56,0.68,50.95,-1.62,6,4,4,8,9,5,60/100
4800(オリコン),20.47,4.84,1.46,23.63,19.55,17.6,16.01,4.74,27.13,0.0,82.74,14.73,15.1,78.25,40.41,0.83,72.66,4.13,9,2,4,5,10,6,60/100
4801(セントラルＳ),33.59,1.34,0.93,3.98,2.01,29.56,99.47,-7.01,3.57,0.0,50.59,5.1,5.19,25.87,24.18,0.83,80.22,0.62,3,2,4,8,5,7,48/100
4809(パラカ),13.98,1.03,3.56,7.38,3.3,16.49,11.11,-4.03,14.11,-0.22,44.66,-1.62,-6.94,17.96,22.82,0.72,37.4,5.47,3,8,3,5,6,5,50/100
4812(ＩＳＩＤ),31.1,4.33,1.31,13.93,8.54,258.12,6.94,6.55,11.18,0.0,61.31,-1.17,-5.69,309.7,27.76,0.75,51.39,0.19,9,3,8,5,7,8,67/100
4813(ＡＣＣＥＳＳ),3444.0,1.25,0.0,0.04,0.03,34.12,,14.33,0.59,0.0,93.21,-3.99,-8.87,55.14,41.31,0.95,35.25,10.84,7,3,5,6,10,4,58/100
4814(ネクスウェア),3.4,2.79,0.0,81.87,45.45,2.38,11.11,0.18,1.67,0.0,55.52,-1.12,-2.19,6.72,26.88,0.58,51.72,25.19,9,10,1,3,6,1,50/100
4816(東映アニメ),76.01,9.11,0.25,11.98,9.67,775.32,-7.73,-2.88,29.02,4.55,80.7,-4.9,-0.46,1112.61,55.58,1.29,36.29,-1.26,3,1,9,8,10,9,67/100
4819(Ｄガレージ),25.58,4.12,0.59,16.09,5.61,255.87,4.77,13.45,35.71,0.0,34.85,4.47,8.11,354.0,27.25,1.23,72.09,0.14,9,2,8,7,3,7,60/100
4820(ＥＭシステム),41.52,3.19,1.32,7.69,5.88,56.33,3.01,2.23,14.43,0.0,76.45,-0.95,-5.7,21.89,22.02,0.6,50.0,-0.98,6,3,5,4,9,8,58/100
4824(メディアＳ),118.43,1.09,0.23,0.92,0.71,4.27,-74.26,-19.32,6.0,0.95,77.0,-8.37,-17.34,10.85,36.13,0.99,23.0,25.32,1,5,1,5,9,2,38/100
4825(ＷＮＩウェザ),54.54,6.75,1.14,12.37,10.74,103.64,1.8,4.57,13.33,0.09,86.79,9.18,31.17,580.05,36.88,0.99,64.83,-0.89,7,1,8,6,10,10,70/100
4826(ＣＩＪ),19.01,1.19,2.86,6.26,5.05,15.59,-14.04,2.34,5.71,0.0,80.64,-1.07,-1.77,7.6,14.02,0.49,46.27,-1.02,4,5,2,3,10,9,55/100
4827(ＢワンＨＤ),4.53,0.67,0.78,14.76,2.76,2.13,2.87,6.97,6.67,0.0,18.72,-0.54,2.7,0.13,29.26,0.25,53.06,,8,10,1,7,1,1,47/100
4828(ビーエンジ),14.79,3.24,2.03,21.88,13.36,20.7,3.7,5.61,11.73,0.0,61.07,-0.9,0.51,10.46,23.25,0.78,45.05,-1.16,9,4,3,5,7,7,58/100
4829(日エンター),30.39,1.53,1.55,5.04,4.16,7.75,7.04,11.59,8.03,0.0,82.52,-3.56,-5.55,15.76,19.79,1.11,33.33,13.3,8,4,2,4,10,3,52/100
4832(ＪＦＥシステ),8.46,1.45,3.98,17.17,9.69,29.62,12.84,6.31,10.39,2.78,56.43,4.49,7.41,12.99,19.23,0.15,77.1,20.33,9,7,4,5,6,6,62/100
4833(サクセスＨ),-15.15,3.93,0.0,-25.98,-17.8,5.83,,-26.61,-21.39,0.0,68.52,-3.27,-4.75,13.11,25.64,0.32,44.44,23.17,1,1,1,5,8,6,37/100
4834(キャリア),14.57,1.3,1.11,8.95,2.31,1.17,50.0,5.47,3.34,0.0,25.83,1.53,8.56,0.72,14.21,-0.12,56.03,,9,4,1,6,2,4,43/100
4837(シダックス),12.58,3.02,0.0,23.98,4.52,22.68,143.78,-2.82,1.86,0.0,18.84,21.53,31.87,64.21,63.65,0.54,85.64,4.0,8,2,4,6,1,2,38/100
4838(Ｓシャワー),16.47,1.21,2.29,7.37,4.19,4.94,,-1.9,2.91,-0.69,56.89,-3.66,-3.44,2.14,17.03,0.13,30.16,40.01,4,6,1,4,6,4,42/100
4839(ＷＯＷＯＷ),32.22,1.04,2.24,3.24,2.21,64.44,-56.73,-1.31,3.78,0.0,68.17,-4.35,-6.69,42.95,18.97,0.52,35.36,-1.2,2,5,6,5,9,9,60/100
4840(トライアイズ),-9.71,0.66,3.7,-6.83,-4.26,2.69,-651.43,-10.8,-19.07,-45.11,62.36,-0.65,-2.57,1.62,16.65,0.23,50.0,133.29,1,2,1,2,7,9,37/100
4845(スカラ),41.76,1.24,5.06,2.95,1.48,12.55,112.77,-5.25,3.33,0.0,49.99,-0.53,-2.92,81.29,22.75,0.67,50.53,9.04,3,3,3,3,5,7,40/100
4847(ＩＷＩ),15.19,1.89,2.58,12.42,8.44,14.28,16.14,4.75,11.33,0.0,67.93,-8.84,-11.4,14.59,23.93,0.8,15.05,8.03,8,7,2,5,8,2,53/100
4848(フルキャスト),21.77,6.63,1.51,30.44,20.97,109.39,22.49,9.76,14.81,3.98,68.9,9.69,23.02,290.03,31.65,0.92,93.14,2.59,10,1,7,5,8,9,67/100
4849(エンジャパン),33.53,6.32,1.57,18.84,14.67,229.44,25.95,2.63,19.61,0.0,77.85,2.68,13.4,946.33,35.03,1.51,52.2,0.67,8,1,9,8,9,9,73/100
4875(メディシノバ),,,,,,19.95,,,,0.0,,-1.1,-2.66,19.53,38.51,1.25,36.67,4.74,5,5,3,4,5,2,40/100
4880(セルソース),271.84,63.32,0.0,23.24,20.15,129.18,87.14,32.52,27.44,0.0,86.73,6.73,18.21,837.15,58.89,1.07,70.29,4.04,10,1,8,7,10,9,75/100
4881(ファンペップ),-4.41,1.46,0.0,-33.16,-31.8,5.21,,-16.86,-914.73,0.0,95.91,-12.05,-19.81,14.09,36.65,1.12,25.29,18.31,1,2,1,6,10,3,38/100
4882(ペルセウス),-8.84,5.12,0.0,-57.87,-55.9,5.53,,-29.43,-832.86,0.0,96.6,-15.86,-23.5,12.29,51.67,1.55,6.4,21.55,1,2,1,8,10,1,38/100
4883(モダリス),-70.83,4.56,0.0,-6.45,-6.37,28.31,,31.72,-200.0,0.0,98.87,-11.51,-25.14,194.98,47.14,0.99,26.15,4.17,8,3,5,8,10,2,60/100
4884(クリングル),-8.13,1.23,0.0,-15.08,-14.04,2.68,,-13.56,-118.41,3.87,93.11,-17.83,-28.58,13.91,54.72,0.62,18.62,11.65,1,3,1,8,10,2,42/100
4885(室町ケミカル),14.19,3.53,1.65,24.89,7.2,4.71,12.39,-1.33,7.37,0.0,28.92,-2.08,-1.31,94.33,45.3,1.08,39.49,5.55,7,5,2,5,2,1,37/100
4886(あすか薬ＨＤ),-11.77,,1.4,,,30.59,,,,0.0,,-0.5,-2.36,43.99,24.12,1.16,51.96,4.12,5,5,4,3,5,4,43/100
4887(サワイＧＨＤ),11.41,,2.56,,,222.46,,,,0.0,,0.21,0.94,389.26,16.28,0.6,51.02,0.32,5,5,8,8,5,9,67/100
4888(ステラファ),-19.86,71.74,0.0,-361.3,-40.58,16.5,,-13.33,-672.36,-16.2,11.23,-1.83,8.12,500.12,74.03,0.35,53.7,3.43,1,1,5,7,1,4,32/100
4889(レナ),-22.28,15.88,0.0,-71.3,-37.52,8.91,,,-327.05,0.0,52.63,-13.91,-13.8,1894.28,118.76,0.5,38.9,0.54,5,1,4,10,5,1,43/100
4901(富士フイルム),26.89,2.13,1.2,7.94,4.93,4705.22,1.75,1.27,9.56,2.37,62.11,1.84,2.28,12072.49,27.26,0.65,59.47,0.95,5,2,10,8,7,10,70/100
4902(コニカミノル),167.79,0.47,6.0,0.28,0.12,251.33,,-5.52,1.29,-14.92,41.54,-13.19,-13.51,3871.36,30.99,1.3,16.56,0.83,1,6,9,7,4,3,50/100
4911(資生堂),97.31,6.03,0.69,6.19,2.49,2919.2,247.58,-1.1,3.21,0.0,40.22,-3.9,-3.24,9973.05,29.49,1.29,49.74,-0.09,7,1,10,7,3,7,58/100
4912(ライオン),25.33,2.35,1.32,9.28,4.94,544.69,-32.58,1.47,8.22,0.0,53.21,-2.91,-2.5,1895.31,19.09,0.36,36.96,0.45,4,3,9,5,5,10,60/100
4914(高砂香),9.13,0.57,1.78,6.2,3.36,56.59,-1.11,3.16,4.36,14.1,54.19,-4.05,-3.21,86.52,26.23,0.91,35.93,0.67,5,9,6,7,5,4,60/100
