,0
336,1659
337,1659
338,1660
339,1660
340,1662
341,1662
342,1663
343,1663
344,1671
345,1671
346,1672
347,1672
348,1673
349,1673
350,1674
351,1674
352,1675
353,1675
354,1676
355,1676
356,1677
357,1677
358,1678
359,1678
360,1679
361,1679
362,1680
363,1680
364,1681
365,1681
366,1682
367,1682
368,1684
369,1684
370,1685
371,1685
372,1686
373,1686
374,1687
375,1687
376,1688
377,1688
378,1689
379,1689
380,1690
381,1690
382,1711
383,1711
384,1712
385,1712
386,1716
387,1716
388,1717
389,1717
390,1718
391,1718
392,1719
393,1719
394,1720
395,1720
396,1721
397,1721
398,1723
399,1723
400,1724
401,1724
402,1726
403,1726
404,1730
405,1730
406,1734
407,1734
408,1736
409,1736
410,1737
411,1737
412,1738
413,1738
414,1739
415,1739
416,1743
417,1743
418,1757
419,1757
420,1758
421,1758
422,1762
423,1762
424,1764
425,1764
426,1766
427,1766
428,1768
429,1768
430,1770
431,1770
432,1771
433,1771
434,1775
435,1775
436,1776
437,1776
438,1777
439,1777
440,1780
441,1780
442,1783
443,1783
444,1786
445,1786
446,1787
447,1787
448,1788
449,1788
450,1789
451,1789
452,1793
453,1793
454,1795
455,1795
456,1798
457,1798
458,1799
459,1799
460,1801
461,1801
462,1802
463,1802
464,1803
465,1803
466,1805
467,1805
468,1807
469,1807
470,1808
471,1808
472,1810
473,1810
474,1811
475,1811
476,1812
477,1812
478,1813
479,1813
480,1814
481,1814
482,1815
483,1815
484,1820
485,1820
486,1821
487,1821
488,1822
489,1822
490,1826
491,1826
492,1827
493,1827
494,1828
495,1828
496,1832
497,1832
498,1833
499,1833
500,1835
501,1835
502,1840
503,1840
504,1841
505,1841
506,1844
507,1844
508,1847
509,1847
510,1848
511,1848
512,1850
513,1850
514,1852
515,1852
516,1853
517,1853
518,1860
519,1860
520,1861
521,1861
522,1866
523,1866
524,1867
525,1867
526,1869
527,1869
528,1870
529,1870
530,1871
531,1871
532,1873
533,1873
534,1878
535,1878
536,1879
537,1879
538,1881
539,1881
540,1882
541,1882
542,1884
543,1884
544,1885
545,1885
546,1887
547,1887
548,1888
549,1888
550,1890
551,1890
552,1892
553,1892
554,1893
555,1893
556,1897
557,1897
558,1898
559,1898
560,1904
561,1904
562,1905
563,1905
564,1909
565,1909
566,1911
567,1911
568,1914
569,1914
570,1921
571,1921
572,1925
573,1925
574,1926
575,1926
576,1928
577,1928
578,1929
579,1929
580,1930
581,1930
582,1934
583,1934
584,1938
585,1938
586,1939
587,1939
588,1941
589,1941
590,1942
591,1942
592,1944
593,1944
594,1945
595,1945
596,1946
597,1946
598,1948
599,1948
600,1949
601,1949
602,1950
603,1950
604,1951
605,1951
606,1952
607,1952
608,1954
609,1954
610,1959
611,1959
612,1960
613,1960
614,1961
615,1961
616,1963
617,1963
618,1964
619,1964
620,1965
621,1965
622,1966
623,1966
624,1967
625,1967
626,1968
627,1968
628,1969
629,1969
630,1971
631,1971
632,1972
633,1972
634,1973
635,1973
636,1975
637,1975
638,1976
639,1976
640,1979
641,1979
642,1980
643,1980
644,1981
645,1981
646,1982
647,1982
648,1992
649,1992
650,1994
651,1994
652,1997
653,1997
654,1999
655,1999
656,2001
657,2001
658,2002
659,2002
660,2003
661,2003
662,2004
663,2004
664,2009
665,2009
666,2031
667,2031
668,2032
669,2032
670,2033
671,2033
672,2034
673,2034
674,2035
675,2035
676,2036
677,2036
678,2037
679,2037
680,2038
681,2038
682,2039
683,2039
684,2040
685,2040
686,2041
687,2041
688,2042
689,2042
690,2043
691,2043
692,2044
693,2044
694,2045
695,2045
696,2046
697,2046
698,2047
699,2047
700,2048
701,2048
702,2050
703,2050
704,2053
705,2053
706,2055
707,2055
708,2058
709,2058
710,2060
711,2060
712,2065
713,2065
714,2066
715,2066
716,2067
717,2067
718,2068
719,2068
720,2069
721,2069
722,2070
723,2070
724,2071
725,2071
726,2072
727,2072
728,2107
729,2107
730,2108
731,2108
732,2109
733,2109
734,2112
735,2112
736,2114
737,2114
738,2117
739,2117
740,2120
741,2120
742,2121
743,2121
744,2122
745,2122
746,2124
747,2124
748,2127
749,2127
750,2130
751,2130
752,2134
753,2134
754,2136
755,2136
756,2137
757,2137
758,2138
759,2138
760,2139
761,2139
762,2146
763,2146
764,2148
765,2148
766,2150
767,2150
768,2152
769,2152
770,2153
771,2153
772,2154
773,2154
774,2156
775,2156
776,2157
777,2157
778,2158
779,2158
780,2159
781,2159
782,2160
783,2160
784,2162
785,2162
786,2163
787,2163
788,2164
789,2164
790,2168
791,2168
792,2169
793,2169
794,2170
795,2170
796,2172
797,2172
798,2173
799,2173
800,2175
801,2175
802,2176
803,2176
804,2178
805,2178
806,2179
807,2179
808,2180
809,2180
810,2181
811,2181
812,2183
813,2183
814,2185
815,2185
816,2186
817,2186
818,2191
819,2191
820,2193
821,2193
822,2195
823,2195
824,2196
825,2196
826,2198
827,2198
828,2201
829,2201
830,2204
831,2204
832,2206
833,2206
834,2207
835,2207
836,2208
837,2208
838,2209
839,2209
840,2211
841,2211
842,2212
843,2212
844,2215
845,2215
846,2216
847,2216
848,2217
849,2217
850,2218
851,2218
852,2220
853,2220
854,2221
855,2221
856,2222
857,2222
858,2224
859,2224
